Distrito-zona;Silhouette;Calinski-Harabasz;Davies-Bouldin
10-Artes graficas;0,7661;2134,2232;0,512
10-Institucional;0,9437;14501,7164;0,1813
10-Mayorista;0,798;2010,1265;0,379
10-V Horeca;0,7277;2825,2782;0,1981
10-V Industria;0,7658;1927,5771;0,3359
10-V SyE;0,793;2113,8147;0,3771
15-Artes graficas;0,7626;6793,9088;0,2391
15-Institucional;0,8132;2157,9791;0,4795
15-Mayorista;0,8231;1408,7353;0,3109
17-Artes graficas;0,764;1350,3351;0,3892
17-Institucional;0,8339;2011,5142;0,2699
17-Mayorista;0,8126;2484,6008;0,3573
20-Artes graficas;0,8026;3468,5085;0,4354
20-Institucional;0,7907;4588,9368;0,3844
20-Mayorista;0,811;1739,7984;0,3228
20-V Horeca;0,8151;971,3879;0,331
20-V Industria;0,6211;349,1447;0,3556
20-V SyE;0,7492;528,5211;0,2589
25-Artes graficas;0,7339;1372,1996;0,3757
25-Institucional;0,774;2211,8203;0,4543
25-Mayorista;0,8441;2371,4805;0,2842
40-Artes graficas;0,7802;3288,0324;0,5118
40-Institucional;0,8631;91610,3528;0,4073
40-Mayorista;0,7316;1189,0929;0,4285
40-V Horeca;0,7189;759,2804;0,4501
40-V Industria;0,7951;1393,4913;0,3914
45-Institucional;0,7395;1124,1826;0,478
45-Mayorista;0,8811;1793,9722;0,2981
50-Artes graficas;0,8314;2042,2964;0,4789
50-Institucional;0,9124;17161,3303;0,259
50-Mayorista;0,8444;2012,7218;0,1904
50-V Horeca;0,6916;2418,9837;0,3409
50-V Industria;0,7669;1167,0822;0,3847
50-V SyE;0,7948;2096,2325;0,2596
52-Artes graficas;0,7857;685,2419;0,2921
52-Institucional;0,8161;2254,5877;0,3737
52-Mayorista;0,7841;822,6952;0,4193
53-Artes graficas;0,7654;1104,0903;0,2888
53-Institucional;0,7049;1567,569;0,3151
53-Mayorista;0,6861;314,8724;0,4535
55-Artes graficas;0,7601;4519,9955;0,243
55-Institucional;0,7935;1874,4358;0,452
55-Mayorista;0,8139;5967,4824;0,2414
60-Artes graficas;0,8022;1614,5292;0,3789
60-Institucional;0,8887;22330,4924;0,2837
60-Mayorista;0,8478;2582,2497;0,2397
60-V Horeca;0,7224;1493,8265;0,3678
60-V SyE;0,81;5487,0252;0,1648
65-Institucional;0,8001;1973,2277;0,2569
65-Mayorista;0,8292;1412,0739;0,2994
65-V SyE;0,7328;3713,8871;0,2425
70-Artes graficas;0,7778;786,254;0,2745
70-Institucional;0,8227;3900,3002;0,4389
70-Mayorista;0,648;348,7435;0,4506
70-V Horeca;0,7909;1082,2077;0,2075
71-Artes graficas;0,9201;1920,1653;0,1476
71-Institucional;0,8246;8294,8815;0,2728
71-Mayorista;0,5286;1211,7376;0,2384
71-V Industria;0,8565;981,4906;0,3765
75-Artes graficas;0,7134;767,3506;0,5079
75-Institucional;0,8705;2290,0138;0,3489
75-Mayorista;0,8336;3058,41;0,3456
90-Artes graficas;0,795;4075,258;0,4179
90-Institucional;0,8305;4233,525;0,3621
90-Mayorista;0,7761;3284,4376;0,3529
